# Residuals   
# Time        	p_rgh         	Ux            	Uy            
0             	N/A	N/A
4.51          	9.662564e-08	2.242586e-05	1.099684e-04
4.52          	7.397381e-07	2.142272e-06	1.710813e-05
4.53          	9.672420e-08	2.286806e-05	1.105227e-04
4.54          	7.399357e-07	2.207993e-06	1.693981e-05
4.55          	4.035787e-08	2.382579e-05	6.410664e-05
4.56          	8.034204e-08	1.469460e-06	5.583013e-06
4.57          	1.214878e-07	1.961182e-05	1.119830e-04
4.58          	1.030443e-07	1.836881e-06	9.047698e-06
4.59          	9.025833e-07	1.063473e-06	2.289069e-06
4.6           	1.466643e-07	3.934822e-06	1.463709e-05
4.61          	8.135136e-08	5.650389e-06	1.327327e-05
4.62          	9.132792e-08	4.687876e-06	8.628067e-06
4.63          	1.044446e-07	4.299393e-06	1.035897e-05
4.64          	1.130732e-07	3.327438e-06	8.335153e-06
4.65          	1.075867e-07	3.998156e-06	1.041030e-05
4.66          	1.228765e-07	2.899368e-06	8.395308e-06
4.67          	1.167865e-07	3.315790e-06	1.142995e-05
4.68          	1.222432e-07	2.607753e-06	8.662601e-06
4.69          	1.108244e-07	3.198234e-06	1.149538e-05
4.7           	1.359838e-07	2.728007e-06	9.161278e-06
4.71          	1.229414e-07	3.442908e-06	1.276872e-05
4.72          	1.306508e-07	2.796139e-06	9.462139e-06
4.73          	1.221559e-07	3.460479e-06	1.267555e-05
